Model,Dataset,Image,Threshold,threshold_source,thin_definition,disk_diameter_px,optic_disc_source,tau_thin_px,thin_gt_pixels_proxy,thin_tp_pixels,thin_vessel_sensitivity_proxy,PredictionPath,GTPath
DCP_1024,AFIO,IM000001,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",119.7,auto_detected,2.1546,49,22,0.4489795918367347,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000001.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000001.png
DCP_1024,AFIO,IM000004,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",124.56,auto_detected,2.24208,233,69,0.296137339055794,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000004.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000004.png
DCP_1024,AFIO,IM000023,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",128.0,auto_detected,2.304,189,51,0.2698412698412698,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000023.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000023.png
DCP_1024,AFIO,IM000024,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",135.87,auto_detected,2.4456599999999997,225,51,0.22666666666666666,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000024.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000024.png
DCP_1024,AFIO,IM000135,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",150.24,auto_detected,2.70432,598,86,0.14381270903010032,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000135.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000135.png
DCP_1024,AFIO,IM000136,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",141.64,auto_detected,2.5495199999999993,26,7,0.2692307692307692,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000136.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000136.png
DCP_1024,AFIO,IM000167,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",121.13,auto_detected,2.1803399999999997,31,17,0.5483870967741935,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000167.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000167.png
DCP_1024,AFIO,IM000168,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",139.57,auto_detected,2.5122599999999995,184,28,0.15217391304347827,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000168.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000168.png
DCP_1024,AFIO,IM000189,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",149.53,auto_detected,2.69154,148,48,0.32432432432432434,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000189.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000189.png
DCP_1024,AFIO,IM000209,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,"TVS = |S_GT_thin intersect M_pred| / |S_GT_thin|; S_GT_thin uses skeletonize(GT), Dlocal=2*EDT(GT), tau=max(1 px, 0.018*DOD)",140.0,auto_detected,2.52,74,14,0.1891891891891892,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000209.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000209.png
